# Hills Cf(x) comparison: SST vs DNS (Krank 2018)
# DNS separation: x/H=0.1691
# DNS reattachment: x/H=5.0357
# x/H  Cf_SST  Cf_DNS
0.002930  0.01049596  0.00065096
0.008789  0.01056634  0.00066386
0.014648  0.01064266  0.00067677
0.020508  0.01071576  0.00067006
0.026367  0.01078649  0.00065944
0.032227  0.01085695  0.00065126
0.038086  0.01092880  0.00065537
0.043945  0.01100321  0.00065948
0.049805  0.01108104  0.00066116
0.055664  0.01116296  0.00066039
0.061523  0.01124961  0.00065963
0.067383  0.01134163  0.00066718
0.073242  0.01143979  0.00067639
0.079102  0.01154506  0.00069023
0.084961  0.01165875  0.00072721
0.090820  0.01178276  0.00076418
0.096680  0.01191990  0.00079695
0.102539  0.01207453  0.00082551
0.108398  0.01225327  0.00085407
0.114258  0.01241684  0.00081439
0.120117  0.01173927  0.00076105
0.125977  0.01101208  0.00070649
0.131836  0.01024128  0.00064578
0.137695  0.00946222  0.00058507
0.143555  0.00870951  0.00049784
0.149414  0.00801220  0.00038408
0.155273  0.00739576  0.00027032
0.161133  0.00687824  0.00015561
0.166992  0.07267218  0.00004070
0.172852  0.02937809  -0.00007725
0.178711  0.01817944  -0.00021038
0.184570  0.01306528  -0.00034351
0.190430  0.01014471  -0.00048237
0.196289  0.00827057  -0.00062698
0.202148  0.00700768  -0.00077159
0.208008  0.03395282  -0.00091719
0.213867  0.01574097  -0.00106299
0.219727  0.01030660  -0.00120746
0.225586  0.00770932  -0.00134525
0.231445  0.05099287  -0.00148304
0.237305  0.01523317  -0.00161212
0.243164  0.00921068  -0.00173250
0.249023  0.00672680  -0.00185288
0.254883  0.01821019  -0.00195070
0.260742  0.00923203  -0.00204401
0.266602  0.20824519  -0.00213252
0.272461  0.01366384  -0.00219704
0.278320  0.00749932  -0.00226156
0.284180  0.02171977  -0.00231153
0.290039  0.00833844  -0.00234693
0.295898  0.02952920  -0.00238234
0.301758  0.00828144  -0.00241304
0.307617  0.02673615  -0.00244281
0.313477  0.00740153  -0.00246897
0.319336  0.01661361  -0.00247717
0.325195  0.00614386  -0.00248536
0.331055  0.01016659  -0.00248490
0.336914  0.03825251  -0.00247579
0.342773  0.00642366  -0.00246667
0.348633  0.01003298  -0.00244831
0.354492  0.02577830  -0.00242810
0.360352  0.00540771  -0.00240666
0.366211  0.00707467  -0.00237907
0.372070  0.01033300  -0.00235148
0.377930  0.01947336  -0.00232239
0.383789  0.46635149  -0.00229181
0.389648  0.00502451  -0.00226123
0.395508  0.00579326  -0.00223353
0.401367  0.00672217  -0.00220640
0.407227  0.00774696  -0.00217962
0.413086  0.00936705  -0.00215459
0.418945  0.01157067  -0.00212957
0.424805  0.01438677  -0.00210474
0.430664  0.01760452  -0.00208010
0.436523  0.02049182  -0.00205546
0.442383  0.02182687  -0.00203728
0.448242  0.02080333  -0.00202039
0.454102  0.01794558  -0.00200204
0.459961  0.01451541  -0.00197642
0.465820  0.01141428  -0.00195080
0.471680  0.00895005  -0.00192389
0.477539  0.00711065  -0.00189570
0.483398  0.00581024  -0.00186751
0.489258  0.00494526  -0.00183977
0.495117  0.00416299  -0.00181212
0.500977  0.00350364  -0.00178416
0.506836  0.00300575  -0.00175463
0.512695  0.03608849  -0.00172510
0.518555  0.01054528  -0.00169460
0.524414  0.00608358  -0.00166312
0.530273  0.00425483  -0.00163164
0.536133  0.00335243  -0.00160382
0.541992  0.00273387  -0.00157674
0.547852  0.01900115  -0.00155015
0.553711  0.00683586  -0.00152607
0.559570  0.00418482  -0.00150199
0.565430  0.00311076  -0.00148229
0.571289  0.00246633  -0.00146698
0.577148  0.01023681  -0.00145166
0.583008  0.00486884  -0.00143113
0.588867  0.00331749  -0.00140955
0.594727  0.00251291  -0.00138739
0.600586  0.01140633  -0.00136233
0.606445  0.00481797  -0.00133726
0.612305  0.00318606  -0.00131228
0.618164  0.00238516  -0.00128737
0.624023  0.00899954  -0.00126246
0.629883  0.00418271  -0.00123794
0.635742  0.00284719  -0.00121350
0.641602  0.07217410  -0.00118900
0.647461  0.00629598  -0.00116429
0.653320  0.00340853  -0.00113957
0.659180  0.00245008  -0.00111540
0.665039  0.01452541  -0.00109176
0.670898  0.00473318  -0.00106813
0.676758  0.00301218  -0.00104786
0.682617  0.00223514  -0.00102825
0.688477  0.00838864  -0.00100882
0.694336  0.00392191  -0.00099022
0.700195  0.00269692  -0.00097162
0.706055  0.07723789  -0.00095693
0.711914  0.00630355  -0.00094615
0.717773  0.00328882  -0.00093537
0.723633  0.00241360  -0.00092665
0.729492  0.02182217  -0.00091834
0.735352  0.00540731  -0.00091021
0.741211  0.00322075  -0.00090299
0.747070  0.00241227  -0.00089578
0.752930  0.03012388  -0.00089015
0.758789  0.00600416  -0.00088610
0.764648  0.00348918  -0.00088206
0.770508  0.00258917  -0.00088067
0.776367  0.00207966  -0.00087982
0.782227  0.00845686  -0.00087919
0.788086  0.00430735  -0.00087961
0.793945  0.00304016  -0.00088004
0.799805  0.00235808  -0.00088042
0.805664  0.02143000  -0.00088076
0.811523  0.00611497  -0.00088110
0.817383  0.00373387  -0.00088231
0.823242  0.00282032  -0.00088368
0.829102  0.00226964  -0.00088563
0.834961  0.01609588  -0.00089042
0.840820  0.00589860  -0.00089522
0.846680  0.00370949  -0.00090097
0.852539  0.00282617  -0.00090770
0.858398  0.00228971  -0.00091442
0.864258  0.02160290  -0.00092311
0.870117  0.00664179  -0.00093220
0.875977  0.00409576  -0.00094122
0.881836  0.00309545  -0.00094988
0.887695  0.00248400  -0.00095853
0.893555  0.00209066  -0.00096729
0.899414  0.01024107  -0.00097615
0.905273  0.00520157  -0.00098502
0.911133  0.00356027  -0.00099518
0.916992  0.00281772  -0.00100561
0.922852  0.00232964  -0.00101641
0.928711  0.05438672  -0.00102911
0.934570  0.00872120  -0.00104182
0.940430  0.00488155  -0.00105554
0.946289  0.00345905  -0.00107028
0.952148  0.00278611  -0.00108502
0.958008  0.00232746  -0.00110063
0.963867  0.18162314  -0.00111642
0.969727  0.01015397  -0.00113221
0.975586  0.00539037  -0.00114794
0.981445  0.00377305  -0.00116368
0.987305  0.00301708  -0.00117912
0.993164  0.00249569  -0.00119427
0.999023  0.00213868  -0.00120943
1.004883  0.01851748  -0.00122478
1.010742  0.00713623  -0.00124017
1.016602  0.00447978  -0.00125577
1.022461  0.00331585  -0.00127243
1.028320  0.00273113  -0.00128909
1.034180  0.00231152  -0.00130678
1.040039  0.00201033  -0.00132549
1.045898  0.01308799  -0.00134420
1.051758  0.00621032  -0.00136407
1.057617  0.00411579  -0.00138418
1.063477  0.00312173  -0.00140430
1.069336  0.00260675  -0.00142450
