
NOTICE: Existing SQLite export found: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite
        It is assumed file was previously exported from: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.nsys-rep
        Consider using --force-export=true if needed.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     11.0   19,210,936,782     10,001   1,920,901.6   1,920,325.0   1,919,229   1,935,105      1,106.4  void pcrGtsvBatchSharedMemKernelLoop<double2>(pcrGtsvBatchGlobalMemParams_t<T1>)                    
      6.6   11,596,924,586     20,002     579,788.3     579,745.0     569,951     590,496      2,622.4  void prime_fft_factor<(unsigned int)13, EPT<(unsigned int)2>, (unsigned int)32, (unsigned int)0, (u…
      5.6    9,810,542,321     10,001     980,956.1     980,931.0     974,434     988,289      1,694.1  nncfd::kernel_unpack_and_bc(const double *, double *, int, int, int, int, int, int, double)         
      5.5    9,610,320,695     10,001     960,936.0     959,746.0     951,778  12,570,187    116,120.3  void kernel_wrapper<unsigned int, &unpackC2R_kernel_impl<unsigned int, double>>(RealComplex_st<T1>) 
      4.7    8,217,329,583     20,002     410,825.4     410,817.0     402,401     418,817      2,207.7  void regular_fft_factor<(unsigned int)3, EPT<(unsigned int)3>, (unsigned int)256, (unsigned int)0, …
      3.9    6,860,968,556     10,001     686,028.3     686,082.0     683,554     690,496        662.7  void pcrGtsvBatchFirstPass<double2>(pcrGtsvBatchGlobalMemParams_t<T1>)                              
      3.5    6,108,175,898     10,001     610,756.5     609,569.0     601,248  12,031,819    114,239.2  void postprocess_kernel<double, unsigned int, (loadstore_modifier_t)2>(real_complex_args_t<T2>)     
      3.3    5,750,728,726     10,001     575,015.4     574,977.0     572,864     610,847        853.1  nvkernel__ZN5nncfd10RANSSolver23compute_convective_termERKNS_11VectorFieldERS1__F1L1969_186         
      3.3    5,711,516,139     10,001     571,094.5     571,073.0     569,216     573,536        626.9  nvkernel__ZN5nncfd10RANSSolver23compute_convective_termERKNS_11VectorFieldERS1__F1L1985_188         
      3.2    5,668,588,357     10,001     566,802.2     566,785.0     565,440     730,431      1,719.8  nvkernel__ZN5nncfd10RANSSolver23compute_convective_termERKNS_11VectorFieldERS1__F1L2001_190         
      2.7    4,720,886,180     10,001     472,041.4     472,127.0     470,624     474,176        428.5  nvkernel__ZN5nncfd10RANSSolver22compute_diffusive_termERKNS_11VectorFieldERKNS_11ScalarFieldERS1__F…
      2.7    4,720,270,811     10,001     471,979.9     472,033.0     470,655     631,711      1,649.3  nvkernel__ZN5nncfd10RANSSolver22compute_diffusive_termERKNS_11VectorFieldERKNS_11ScalarFieldERS1__F…
      2.7    4,661,668,413     10,001     466,120.2     466,113.0     464,736     487,071        551.0  nvkernel__ZN5nncfd10RANSSolver22compute_diffusive_termERKNS_11VectorFieldERKNS_11ScalarFieldERS1__F…
      2.7    4,642,213,762     10,001     464,175.0     464,256.0     462,112     506,783        893.8  nvkernel__ZN5nncfd10RANSSolver18compute_divergenceENS_13VelocityWhichERNS_11ScalarFieldE_F1L2208_226
      2.6    4,536,240,386     10,001     453,578.7     428,865.0     419,521     564,832     53,782.8  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3222_44                                                    
      2.5    4,309,144,307     10,001     430,871.3     433,377.0     423,519     440,161      4,640.9  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3062_34                                                    
      2.2    3,783,858,781     20,002     189,174.0     189,185.0     187,168     191,488        546.3  void regular_fft_factor<(unsigned int)8, EPT<(unsigned int)8>, (unsigned int)128, (unsigned int)0, …
      1.9    3,263,929,996     10,001     326,360.4     326,209.0     325,313     328,257        491.5  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2362_238                                      
      1.9    3,235,360,382     10,001     323,503.7     323,393.0     322,464     325,216        480.7  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2328_234                                      
      1.8    3,217,770,735     10,001     321,744.9     321,632.0     320,769     323,617        418.9  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2396_242                                      
      1.7    2,942,387,196     10,001     294,209.3     294,113.0     291,264     299,392        975.9  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3402_46                                                    
      1.7    2,931,642,975     10,001     293,135.0     293,057.0     290,335     299,072        958.6  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3423_48                                                    
      1.6    2,878,494,475     10,001     287,820.7     287,648.0     282,305     300,225      2,159.4  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3450_50                                                    
      1.6    2,840,728,281     10,001     284,044.4     284,129.0     281,664     286,720      1,143.6  void kernel_wrapper<unsigned int, &packR2C_kernel_impl<unsigned int, double>>(RealComplex_st<T1>)   
      1.5    2,609,454,310     10,001     260,919.3     259,841.0     258,624  10,679,662    104,193.7  nncfd::kernel_pack_and_partial_sum(const double *, double *, double *, int, int, int, int, int, int)
      1.4    2,515,605,611     20,002     125,767.7     125,664.0     123,264     129,248        846.5  void vector_fft<(unsigned int)156, EPT<(unsigned int)13>, (unsigned int)8, (unsigned int)0, (paddin…
      1.3    2,306,424,570     10,001     230,619.4     230,208.0     229,536     232,736        814.4  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2895_24                                                    
      1.3    2,268,259,467     10,001     226,803.3     226,528.0     225,792     228,545        666.7  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2857_20                                                    
