
NOTICE: Existing SQLite export found: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite
        It is assumed file was previously exported from: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.nsys-rep
        Consider using --force-export=true if needed.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)           Range         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  -----------------------
     45.5   93,590,439,027     10,001  9,358,108.1  9,329,961.0  9,300,182  43,455,826    345,354.4  :poisson_solve         
      8.5   17,428,882,868     10,001  1,742,714.0  1,742,160.0  1,737,938   3,043,035     13,396.1  :convection            
      8.5   17,424,575,703     10,001  1,742,283.3  1,741,748.0  1,737,610   3,042,214     13,382.4  :solver:convective_term
      7.0   14,388,434,591     10,001  1,438,699.6  1,438,280.0  1,435,290   1,629,823      2,747.6  :diffusion             
      7.0   14,384,630,814     10,001  1,438,319.2  1,437,910.0  1,434,971   1,627,462      2,712.4  :solver:diffusive_term 
      6.1   12,464,304,599     10,001  1,246,305.8  1,245,601.0  1,240,681   1,298,677      3,753.9  :velocity_correction   
      6.1   12,457,333,184     10,001  1,245,608.8  1,244,911.0  1,240,263   1,297,536      3,680.0  :correct_velocity      
      3.9    8,008,157,441     10,001    800,735.7    799,746.0    781,744   1,178,855      8,555.3  :velocity_copy         
      3.7    7,519,884,153     10,001    751,913.2    751,332.0    747,415   1,618,291      9,163.8  :predictor_step        
      2.3    4,737,741,786     10,001    473,726.8    473,693.0    471,490     522,829      1,161.6  :divergence            
      0.9    1,795,195,682     10,001    179,501.6    179,360.0    178,097     195,251        813.9  :nu_eff_computation    
      0.8    1,624,472,630     10,001    162,431.0    161,481.0    157,436     991,577      9,442.6  :apply_velocity_bc     

